2025-04-27 23:52:31,305 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 23:53:52,247 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 23:57:26,781 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 23:59:51,144 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-27 23:59:51,145 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-27 23:59:51,145 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-27 23:59:51,145 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-27 23:59:51,145 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-27 23:59:51,145 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-27 23:59:51,145 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-28 00:00:44,547 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 00:01:49,297 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2025-04-28 00:01:50,630 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2025-04-28 00:05:06,491 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 00:07:37,387 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 11:23:37,889 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-28 11:23:37,890 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-28 11:45:13,309 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-28 11:45:13,309 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-28 11:45:13,309 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-28 11:45:13,309 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-28 11:45:13,309 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-28 11:45:13,309 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-28 11:45:13,309 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-28 11:45:28,930 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 11:46:34,783 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-28 11:46:34,784 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-28 11:48:57,516 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-28 11:48:57,517 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-28 11:48:57,517 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-28 11:48:57,517 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-28 11:48:57,517 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-28 11:48:57,517 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-28 11:48:57,517 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-28 11:49:13,260 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 11:49:55,956 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-28 11:49:55,956 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-28 11:50:10,914 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-28 11:50:10,915 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-28 11:50:10,915 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-28 11:50:10,915 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-28 11:50:10,915 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-28 11:50:10,915 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-28 11:50:10,915 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-28 11:50:55,578 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 11:52:21,277 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 11:54:15,616 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 11:55:49,462 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 11:57:59,228 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:00:35,720 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:02:40,638 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:05:03,147 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:07:06,937 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:09:12,337 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:20:11,175 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:20:39,540 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
