2025-04-28 11:57:05,753 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 11:57:47,015 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 11:57:49,820 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 11:57:55,090 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 11:59:26,735 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:00:17,084 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:00:19,802 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:01:26,012 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:02:30,892 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:02:33,495 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:03:30,961 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:04:50,951 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:04:53,428 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:06:07,110 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:06:56,461 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:06:59,534 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:08:19,754 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:08:58,735 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:09:01,228 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:12:30,684 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:19:47,323 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:19:59,918 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:20:02,512 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:20:08,409 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:20:31,324 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:20:35,647 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:21:29,857 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:22:30,688 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:22:33,275 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:23:20,917 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:23:30,439 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:23:33,004 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:25:33,321 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:25:41,830 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:25:58,202 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:26:12,163 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:26:16,953 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:28:12,123 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:28:57,651 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:29:00,302 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:29:05,134 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 12:29:18,584 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 12:29:22,620 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 12:34:21,954 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 18:53:10,589 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 18:53:15,118 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 18:56:13,812 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 18:56:53,040 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 18:56:55,539 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 18:58:01,375 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 18:58:18,826 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 18:58:21,412 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 18:59:36,354 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:00:25,388 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:00:27,966 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:00:43,523 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:01:07,454 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=12, releaselevel='final', serial=0)
2025-04-28 19:01:07,454 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.3.1-arm64-arm-64bit
2025-04-28 19:01:07,454 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:01:10,057 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:02:04,598 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:03:36,964 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:03:43,445 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:04:38,047 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:05:38,571 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:05:41,780 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:06:36,354 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:10:26,622 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:10:29,438 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:12:06,923 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:12:29,929 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:12:32,573 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:13:28,994 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:13:46,732 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:13:49,221 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:15:41,304 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:16:09,833 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:16:12,307 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:18:16,990 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:18:32,123 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:18:38,693 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:20:06,669 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:20:25,204 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:20:27,728 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:23:15,128 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:23:54,668 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:24:16,451 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:24:18,988 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:25:14,596 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:25:34,233 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:25:38,983 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:26:46,379 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:27:11,272 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:27:14,038 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:34:03,260 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 19:36:31,187 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 19:37:06,012 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2025-04-28 19:37:06,017 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:37:06,018 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2025-04-28 19:37:21,426 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=12, releaselevel='final', serial=0)
2025-04-28 19:37:21,426 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.3.1-arm64-arm-64bit
2025-04-28 19:37:21,426 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:38:13,280 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:38:15,923 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:39:27,568 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:39:50,301 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:39:52,808 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:41:26,613 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 19:42:24,979 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=12, releaselevel='final', serial=0)
2025-04-28 19:42:24,979 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.3.1-arm64-arm-64bit
2025-04-28 19:42:24,980 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:42:28,568 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:43:28,598 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:44:28,984 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:44:31,582 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:45:21,803 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:45:36,478 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:45:39,096 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:46:25,850 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:47:02,551 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:47:05,286 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:49:55,688 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:52:31,079 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:52:33,627 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:53:51,619 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 19:54:05,929 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 19:54:08,775 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 19:56:06,049 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 22:38:01,461 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 22:38:27,894 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 22:39:19,250 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 22:41:47,110 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 22:41:49,848 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 22:42:57,712 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 22:43:56,864 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 22:44:01,401 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 22:46:08,920 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 22:55:14,971 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 22:55:29,856 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:00:16,777 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:00:20,534 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 23:00:34,522 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:00:37,106 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:01:15,223 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 23:02:59,372 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:03:01,914 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:04:17,273 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
