2025-04-28 19:37:06,019 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2025-04-28 19:39:46,402 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-28 19:39:46,879 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-28 19:44:25,414 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-28 19:54:00,608 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-28 19:54:00,767 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-28 22:37:56,286 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-28 22:37:56,462 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-28 22:41:42,565 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-28 22:43:51,699 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-28 22:43:51,872 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-28 23:54:52,595 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2025-04-29 00:12:10,272 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-29 00:12:10,486 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-29 00:27:06,930 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-29 00:31:11,968 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-29 00:33:25,095 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-29 01:05:38,841 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-29 01:05:38,943 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-29 01:15:30,587 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-29 01:16:07,854 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-29 01:16:08,207 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-29 01:17:22,620 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
