2025-05-14 00:51:55,996 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 00:52:00,999 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 00:53:09,884 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 00:57:26,475 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 00:57:26,476 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 00:57:26,476 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 00:57:26,477 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 00:57:26,478 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 00:57:35,278 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 00:57:41,637 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 00:57:49,775 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-05-14 00:58:25,637 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 01:01:31,754 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 01:01:31,755 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 01:01:31,756 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 01:01:31,757 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 01:01:31,758 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 01:01:32,357 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 01:01:34,965 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 01:02:07,820 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 01:07:58,570 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 01:07:58,571 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 01:07:58,572 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 01:07:58,573 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 01:07:58,576 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 01:07:59,396 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 01:08:01,920 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 01:08:16,834 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 01:08:30,894 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 01:08:35,907 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 01:09:17,898 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 01:09:48,502 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 01:09:48,503 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 01:09:48,504 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 01:09:48,506 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 01:09:48,506 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 01:09:48,715 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 01:09:51,868 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 01:10:02,039 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 02:51:39,433 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 02:51:39,435 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 02:51:39,435 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 02:51:39,436 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 02:51:39,436 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 02:51:41,543 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 02:51:44,109 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 02:51:48,627 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 02:51:59,150 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 02:52:02,514 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 02:52:47,623 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-05-14 02:53:01,291 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
